nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
AgroFair Europe BV,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AgroFair Europe BV,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Indian Inst Technol Tirupati,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Indian Institute Technology Tirupati,Indian Inst Technol Tirupati,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Wales Swansea,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Wales Swansea,Univ Wales Swansea,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Escola Super Agr Coimbra,,revisar_manualmente,revisao_manual,Indefinido,Escola Super Agricultural Coimbra,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Kalinga Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kalinga University,Kalinga Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Pakistan Council Sci & Ind Res,,revisar_manualmente,revisao_manual,Indefinido,Pakistan Council Science & Ind Research,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Green Int Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Green Int University,Green Int Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Govt Grad Coll Women,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Grad College Women,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
BPP Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,BPP University,BPP Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Minhaj Univ Lahore,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Minhaj University Lahore,Minhaj Univ Lahore,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Pakistan Council Sci & Ind Res Ctr,,revisar_manualmente,revisao_manual,Indefinido,Pakistan Council Science & Ind Research Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ramakrishna Mission Vivekananda Centenary Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ramakrishna Mission Vivekananda Centenary College,Ramakrishna Mission Vivekananda Centenary Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ CEU San Pablo,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University CEU San Pablo,Univ CEU San Pablo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nat Sci Museum Barcelona,,revisar_manualmente,revisao_manual,Indefinido,Nat Science Museum Barcelona,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Protecting Crops & Environm,,revisar_manualmente,revisao_manual,Indefinido,Protecting Crops & Environment,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Kenya Agr & Livestock Res Org KALRO Tigoni,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Kenya Agricultural & Livestock Research Org KALRO Tigoni,Kenya Agr & Livestock Res Org KALRO Tigoni,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Shih Hsin Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shih Hsin University,Shih Hsin Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Taipei Univ Nursing & Hlth Sci,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,National Taipei University Nursing & Health Science,Natl Taipei Univ Nursing & Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Natl Inst Technol Karnataka NITK,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Institute Technology Karnataka NITK,Natl Inst Technol Karnataka NITK,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cent Pollut Control Board Reg Directorate,,revisar_manualmente,revisao_manual,Indefinido,Cent Pollut Control Board Reg Directorate,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Sanming Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sanming University,Sanming Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Agcy New & Renewable Energy Res & Technol ANERT,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Agency New & Renewable Energy Research & Technology ANERT,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
South Ural State Univ Natl Res Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,South Ural State University National Research University,South Ural State Univ Natl Res Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Ctr Hlth Housing,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Center Health Housing,,Não cadastrar como instituição de ensino principal.,Alta
Agr Res & Dev Ctr,,revisar_manualmente,revisao_manual,Indefinido,Agricultural Research & Dev Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Meteorol Bur Jiangsu Prov,,revisar_manualmente,revisao_manual,Indefinido,Meteorol Bur Jiangsu Prov,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Inst Ecoenviron Sci & Technol,,revisar_manualmente,revisao_manual,Indefinido,Institute Ecoenviron Science & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Dezhou Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dezhou University,Dezhou Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Assoc Ric Cardiol,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Assoc Ric Cardiol,,Não cadastrar como instituição de ensino principal.,Alta
HMS Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,HMS Institute Technology,HMS Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Polytech Univ Madrid UPM,,adicionar_como_variacao,instituicoes,Universidade,Universidad Politécnica de Madrid,Polytech Univ Madrid UPM,Corrigir nome oficial.,Alta
Ctr Reg Invest Cient & Transferencia Tecnol La Ri,,revisar_manualmente,revisao_manual,Indefinido,Center Reg Invest Cient & Transferencia Tecnol La Ri,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Mudanya Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Mudanya University,Mudanya Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ICAR Krishi Vigyan Kendra,,revisar_manualmente,revisao_manual,Indefinido,ICAR Krishi Vigyan Kendra,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Russian Res Inst Fruit Crop Breeding VNIISPK,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Russian Research Institute Fruit Crop Breeding VNIISPK,Russian Res Inst Fruit Crop Breeding VNIISPK,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Inst Invest Agr INIA,,revisar_manualmente,revisao_manual,Indefinido,Institute Invest Agricultural INIA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ctr Phys Sci & Technol FTMC,,revisar_manualmente,revisao_manual,Indefinido,Center Phys Science & Technology FTMC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Agr Biotechnol Ctr,,revisar_manualmente,revisao_manual,Indefinido,Agricultural Biotechnol Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ctr People & Environ CPE,,revisar_manualmente,revisao_manual,Indefinido,Center People & Environ CPE,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Khulna Govt Mahila Coll,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Khulna Govt Mahila College,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
China Meteorol Adm Training Ctr,,revisar_manualmente,revisao_manual,Indefinido,China Meteorol Adm Training Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
CNIPA,,revisar_manualmente,revisao_manual,Indefinido,CNIPA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
C MAST Ctr Mech & Aerosp Sci & Technol,,revisar_manualmente,revisao_manual,Indefinido,C MAST Center Mech & Aerosp Science & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Southeast Missouri State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Southeast Missouri State University,Southeast Missouri State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
WHO Collaborating Ctr Noncommunicable Dis Prevent,,revisar_manualmente,revisao_manual,Indefinido,WHO Collaborating Center Noncommunicable Dis Prevent,,Não há padrão suficiente para corrigir automaticamente.,Baixa
IDF Ctr Excellence Diabet Care,,revisar_manualmente,revisao_manual,Indefinido,IDF Center Excellence Diabet Care,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Embrapa Trigo,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Trigo,Embrapa Trigo,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Univ Estadual Campinas Unicamp,,adicionar_como_variacao,instituicoes,Universidade,Universidade Estadual de Campinas,Univ Estadual Campinas Unicamp,Corrigir nome oficial.,Alta
Lingyange Semicond Inc,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Lingyange Semicond Inc,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Zhuhai UM Sci & Technol Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Zhuhai UM Science & Technology Research Institute,Zhuhai UM Sci & Technol Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Rain Forest Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Rain Forest Research Institute,Rain Forest Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Pedol,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Pedol,Natl Inst Pedol,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Bur Soil Survey & Land Use Planning,,revisar_manualmente,revisao_manual,Indefinido,National Bur Soil Survey & Land Use Planning,,Não há padrão suficiente para corrigir automaticamente.,Baixa
VCSG Uttarakhand Univ Hort & Forestry,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,VCSG Uttarakhand University Hort & Forestry,VCSG Uttarakhand Univ Hort & Forestry,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jinong Inc,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Jinong Inc,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Assam Energy Inst,,revisar_manualmente,revisao_manual,Indefinido,Assam Energy Institute,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Yangling Vocat & Tech Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Yangling Vocat & Technology College,Yangling Vocat & Tech Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Feni Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Feni University,Feni Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Int Studies Rome,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Int Studies Rome,Univ Int Studies Rome,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CESifo GmbH,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CESifo GmbH,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Publ Policy Africa Initiat,,revisar_manualmente,revisao_manual,Indefinido,Publ Policy Africa Initiat,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Sichuan Int Studies Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sichuan Int Studies University,Sichuan Int Studies Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
